texto,nota,labels
"é notório que as notícias falsas  em ano de eleições presidenciais trás divergências de opiniões. dentre tantos fatores, temos causas e consequências a este ato inconstitucional.atualmente no século xxi,o uso de internet é estratosférico em qualquer lugar. sendo assim muitas pessoas optam e adotam a técnica de receber e consultar informações através desse meio, porém nem todos esclarecimento exibidos são verdadeiros. com base nisso, nesse ano de 2018,o ano dedicado àeleição para a escolhas de presidentes nos países, o famoso fake newspode atrapalhar um pouco nas candidaturas dos participantes e escolhas dos eleitores em geral.a postagem desses tipos de divulgações negativas, na maioria das vezes, trazem uma imagem negativa do candidato que diferem totalmente a sua imagem real, fazendo com que, o votante tenha uma outra opinião, e assim troque sua opção de voto.assim sendo, os responsáveis por observação de notícias que devem pela web , juntamente com investigadores, poderiam realizar pesquisas sobre cada notícia postada, visando assim a confirmação da notícia, e adicionar sensores em sites mais acessados, onde cada notíciafalsa exibida detectada seja excluída urgentemente, trazendo assim uma segurança para o público virtual, e dando a confiança de voto do proponente, ao sufragista.",100,5
"no atual mundo contemporâneo , com tantos acessos às informações estamosladeados de falsas notícias, portanto, é notório que, precisamos tomarmos bastantes cuidados com o que lemos, é necessário procurar por outras fontes alternatóriasalternativas. a circulação das “ fake news” estão presentes com maiores frequênciasmais frequênciaem redes sociais, tais como: whatsapp, facebook e alguns programas de televisão. é importante intrigar uma ênfase no whatsapp, pois com tantos grupos de entretenimento acabamos sempre recebendo várias nóticias.outrossim,a população brasileira está cada vez menos preocupada em estar procurando site com fontes confiavéis em questão de determinados anúncios . a existência de jornais que manipulam com maiores frequênciasos telespectadores, devido a ausência do receptor de abrangir mais conhecimentos sobre a notícia àa qual recebeu . em épocas de eleiçõesas os “fake news” estão cada vez mais presentes, são políticos querendo passar uma boa imagem mentindo com supostas intervenções em determinados problemas sociais. além da hipocrisia política de determinados candidatos, é importante lembrar que, a oposição de tal político inventa conteúdos parar degrinir denegrira imagem do político opositor. portanto, a circulação de notícias falsas está cada vez mais frequentes e a ausência em estáestar procurando-seprocurando se é verídico está em decadência.é indiscutível que, o pensamento do filósofo arthur schopenhauer está certo  :”quanto mais claro é o conhecimento do homem, quanto mais inteligente ele é, mais sofrimento ele tem; o homem que é dotado de gênio sofre mais do que todos”. seguindo a linha de raciocínio de arthur, podemos entender que, quando ocorre a procura de abrangir o conhecimento, mais o indíviduo sofre, pois com tanta hipocrisia, crueldade na atual contemporaneidade.é evidente, portanto, que a sociedade brasileira procure por mais meios de informações, não se limitando apenas em determinadas pesquisas. entretanto, quando comerçamosas pesquisas por mais fontes alternatóriasalternativas, as os “fake news” irão desaparecer, pois com uma sociedade intelectual não existirá falsas notícias, álias aliás,não existirarão pessoas para acreditar em tal conteúdo . mas, para isso acontencer é importante que o mec , institua-seinstitua nas redes de ensinos palestras administradas por psicólogosem questão de proporcionar por mais buscas de notícias a qual recebem.",100,5
"o livro ''notícias: manual de usuário'', do escritor americano alain botton, revela que na sociedade pós-moderna as notícias são utilizadas não como meio de informação, ou seja, são utilizadas com o objetivo de manipular os leitores. é inegável que na contemporaneidade as fakes newsafetam de modo extraordinário a rotina dos brasileiros, fazendo com que o ano de eleições presidenciais sejam cheios de manipulações e fakes news , necessitando de medidas para que essa prática se torne extinta e o meio social passe a ser harmônico e confiável.em primeiro lugar, é imprescindível ressaltar que as hoax, que são as notícias falsas, mudam o pensamento do leitor, transformando em um grande potencial em época de eleições presidenciais, já que podem manipular o povo. nesse contexto, o ''mito da caverna'', do filósofo platão, afirma que o morador que sair da ignorância tem o dever de avisar os indivíduos sobre a verdade, isto é, esclarecer que determinado fato não existe. isto posto, é notório que quando relacionado à fake news essa ação se torna obsoleta, já que o próprio canal que deveria informar a população possui como objetivo o contrário, que é a manipulação.em segundo lugar, as mídias sociais são de extrema importância em ano eleitorais, pois têm como objetivo e potencial a massificação de determinada informação, atingindo um grande público de leitores. isso, consoante ao pensamento de a. schopenhauer de que os limites do campo da visão de uma pessoa determinam seu entendimento a respeito do mundo que a cerca, fazem das mídias sociais o campo ideal para um político, já que utilizam das hoax para disseminarem um conteúdo ideológico, político e cultural que não é verdadeiro.urge, portanto, a necessidadede medidas do governo e do indivíduo para acabar com as notícias falsas na sociedade brasileira. para isso, o governo, por meio do ministério da comunicação aliado aos meios de disseminação em massa, como a rádio, televisão e internet, deve informar a população para analisar as informações e notícias recebidas, já que estas podem estar manipuladas ou adulteradas. além disso, cabe ao indivíduo, como ser social e voluntário, fiscalizar se determinado canal possui alguma notícia falsa e, caso possua, denunciar ao ministério público , para que o meio social seja altruísta e, principalmente, verdadeiro. só assim, as pessoas iriamirão sair da caverna de platão, que é a intolerância, entrando para um mundo harmônico, saudável e seguro.",150,7
"desde o começo dos tempos, o homem busca formas de se expressar e de obter informações muitas vezes se baseando em conhecimento de outras pessoas. e, atualmente temos as redes sociais e inúmeros sites como principais meios de obtê-las. mas quando devemos perceber que essa grande ajuda, pode se tornar um grande problema?no século 21, nos encontramosfrequentemente ativos nestas redes, seja para compartilhar experiências, ler notícias ou somente passar o tempo, mas por mais simples que esses hábitos pareçam, apenas ler e confiar em algo que não buscamosconhecer a fundo podem gerar consequências significativas em determinadas ocasiões , pois essa fácil acessibilidade é aproveitada por indivíduos que se oportunam para promover as denominadas ""fake news"".este termo, literalmente traduzido do inglês como ""notícias falsas"" é usado para polemizar ou denegrir a imagem de algum indivíduo, e , em épocas importantes como as eleições, se torna ainda mais perigoso . buscando orientar eleitores a favor ou contra determinados candidatos à presidência, esses indivíduos publicam as fakes news, e , sem conhecimento sobre a veracidade dos fatos, esses eleitores se deixam basear em boatos, podendo gerar votos incongruentes, refletindo nas urnas de votação.em suma, é necessário que o poder legislativo juntamente com o ministério da comunicação, busque elaborar leis que punam e consequentemente multem criadores de fake news, e alertem os usuários das redes sociais sobre a existência de falsa repercussão, os orientando a checar a veracidade das notícias lidas. não se deve permitir que causas fúteis interfiram no futuro de um país.",100,5
"atualmente, com o rápido avanço da tecnologia e consequentemente da globalização, surgiram novas formas midiáticas para levar notícias para o povo , como os sites e redes sociais da internet por exemplo, que por serem de mais fácil acesso e mais rápido no compartilhamento de notícias, acabaramse sobressaindo em relação à outros meios noticiários, como o jornal, que mesmo sendo muito utilizado hoje ainda, não está no ""topo"" dos mais acessados.como vimos , esse rápido compartilhamento de notícias acarretou e ainda acarreta em diversos problemas, como a ""fake news"", que traduzida quer dizer ""notícias falsas"". muitas pessoas não conseguem discernir uma notícia falsa quando se deparam com ela, ou então não se preocupam em conferir a fonte das noticias, deonde veio tal informação ou se é confiável, e isso é muito prejudicial à sociedade, que ao ler e repassar tal notícia, provoca então um efeito indesejado na população, principalmente se for algo que afete a todos. temos como exemplo as eleições, ondena qual aqueles que criam ou alteram determinada notícia tornando-a falsa, visam atingir um grande público para se beneficiar e prejudicar o outro, seja ele/a um candidato ou um eleitor, para que a sociedade seja manipulada através de sua notícia .com isso, podemos afirmar que para a diminuição de fake news compartilhadas, um dos melhores caminhos seria utilizar o poder do povo, ou seja, uma sociedade que busca saber e conferir suas fontes de notíciassão mais propicias a discernir quando esta é verdadeira ou não, e ao saber isso ela deixa de acreditar em tudo o que vê nos noticiários, passando a compartilhar somente aquilo em que tem a certeza que é válido ser compartilhado.",100,5
"o ano de2018 marca um ano especial para a sociedade pois é quando acontece as eleições presidenciáveispresidenciais. com isso, é imprescindível que haja transparência nas informações e que seja feito o combate das fake news que visam burlar a ética do processo eleitoral.com o objetivo de denegrir, influenciar negativamente ou chamar a atenção, as fake newsou também conhecidas como notícias falsas são propagadas em larga escala em vários lugares do mundo contando com ajuda do avanço da tecnologia e das mídias sociais. contudo, disseminar conteúdos sem embasamento verídico pode ocasionar sérios problemas envolvendo a falha de comunicação .as possibilidades emde tomar decisões baseadas em informações infundadas em que não há conhecimento sobre sua procedência é grande. sendo assim, as eleições previstas para este ano merecem muita atenção pois trata-se de um acontecimento importante que requer a participação e o poder de escolha do povo a fim de eleger um representante capacitado para gerir o país com qualidade. caso uma escolha seja feita tendo como referência a propagação de fake news será que há possibilidade disso ocorrer ?logo, impera a necessidade de que as pessoas se mobilizem acerca de todas as informações que recebem, buscando averiguar sua procedência, não compartilhando conteúdos de fontes inseguras. é importante também que seja promovida uma ação de conscientização pública por meio da mídia e das escolas para que assim possamosvislumbrar um futuro com mais transparência.",100,5
"no contexto atual, com o avanço tecnológico e a internet sendo um excelente meio de comunicação acaba dando origensm a novas coisas e notícias , notícias inclusive falsas que deram origem ao termo ""fake news"" que tem o intuito de difamar o âmbito tanto político quanto social.a rapidez com que se espalham as notícias e informações, contribuem para que aumente essas propagandas enganosas . a falta de conhecimento de conhecimento dos usuários também contribuem com esse impaceimpasse.éevidente que a população sofre com isso , a grande maioria contribue compartilhando notícias sem conferir e repassando assuntos sem fontes confiáveis o que fere todo o âmbito social e econômico .fica claro, que a população dá muito crédito à mídia, se não dessem tanto crédito assim, os boatos seriam menores . o governo tem o dever de proteger a população,  deveriam ser realizadas mais campanhas de orientação e, no âmbito tecnológico pesquisas de novos meios de combate à isso, promovendo mais segurança para que os usuários tenham mais confiança nas informações acessadas.",100,5
"o facebook, criado por mark zuckerberg, é uma das principais redes sociais de divulgação de notícias de diversos sites. não obstante, tais conteúdos nem sempre apresentam veracidade e põe em pauta na atualidade o desafio de se combater as chamadas “fake news”. nesse contexto, é preciso enfrentar o fenômeno da propagação de notícias falsas, pois, do contrário, decisões desprovidas de senso crítico irão compor o cenário das eleições presidenciais.em primeira instância, cabe pontuar que a viralização de informações equivocadas nos meios de comunicação “aprisiona” o indivíduo tal qual a caverna citada pelo filósofo platão. aplicando essa didática platônica, isto é, o mito da caverna ao fenômeno das “fake news”, entende-se que essa metáfora transforma a mídia na caverna pós-moderna, retratando a cegueira intelectual que assola cada vez mais o país. exemplo disso foi a difusão de uma notícia enganosa e apocalíptica acerca de um suposto planeta, nibiru, que iria se chocar com a terra, o qual muitas pessoas acreditaram porque se limitaram a essa informação. dessa forma, a propagação de conteúdos errôneos corrobora para uma geração de pessoas com visões restritas e preconceituosas .ademais, vale frisar que a disseminação desses conteúdos equivocados pode ser usado como uma tática para favorecer determinadas ideologias ou mesmo pessoas que visam aos cargos políticos. isso foi notório durante as eleições do atual presidente dos estados unidos, donald trump, nas quais se difundiu diversas notícias enaltecedoras do líder, seduzindo os eleitores nas duas decisões, segundo o site de notícia el país. sendo assim, as notícias midiáticas, se não reguladas podem impactar nas decisões dos eleitores, sobrepondo o pensamento críticos desses.destarte, urge a necessidade de meios para atenuar a problemática da propagação de conteúdos falsos. é imprescindível, portanto, que órgãos do governo criem projetos de lei no que tange a criminalização de notícias falsas e que haja punição aos propagadores dessas notícias a fim de que as pessoas não tenham mais acesso a elas. além disso, setores da educação- escolas e universidades- principais meios de instrução, devem instigar os jovens a buscar informações em diferentes fontes de notícias, por meio de indicação de sites confiáveis e diversos, com o fito de fazê-los manter posicionamento crítico e, assim, atuarem melhor nas decisões políticas. desse modo, a caverna pós-moderna dará lugar a um mundo mais amplo e realista, favorável a democracia.",150,7
"problema agravado com o avanço da tecnologia, as fake news são notícias falsas espalhadas pelas redes sociais e sites mal intencionados da internetcom o objetivo de gerar debates desnecessários sobre fatos e situações que nunca ocorreram nos mais diversos âmbitos das sociedades mundiais.a ingenuidade e a falta de reflexão e pesquisa por parte dos indivíduos é o que faz com que essas informações circulem com uma inacreditável velocidade pelas redes. como exemplo recente, as eleições presidenciais dos estados unidos em que notícias inverídicas foram compartilhadas milhões de vezes sobre os candidatos donald trump e hillary clinton, ondeem que se falava que o atual presidente teria o total apoio do papa francisco e a então candidata teria vendido armas para o estado islâmico, influenciando na disputa eleitoral.no brasil não foi diferente, nas eleições de 2014 boatos surgiram para com os candidatos que foram para o segundo turno dilma rousseff e aécio neves que acabou na reeleição da candidata petista.não obstante, essa problemática não tem impacto apenas na esfera política, mas econômica, jurídica e até mesmo artística onde notícias da morte de atores e cantores, por exemplo, são viralizadas causando intensa polêmica. dessa forma, é imprescindível que as instituições educacionais incluam no planejamento escolar aulas sobre o conceito do assunto e as formas de analisar uma notícia antes de afirmá-la como verdadeira e assim estimular o questionamento crítico dos alunos. ",100,5
"é de conhecimento geral que as notícias são recursos de grande importância para a sociedade, logo mantém a humanidade atualizada, embora a meios de comunicações em quese divulgam notícias falsas no qual ocorre de forma intensa gerando impactos dentro da população ,  de acordo com o instituto de tecnologia de massachusetts as chamadas fake news viralizam de maneira volumosa e mais fácil do que as notícias verídicas.por exemplo, em 2014 surgiu boatos em deque ocorreria o fim do bolsa família  o qualna qual é um programa social cujo auxilia pessoas em situações de pobreza, em que a mídia dizia no qualque foi estimulados por discursos de representantes do pt favorecendo os candidatos da oposição, porém foi apenas mais uma mentira dentre outras circulando em meios de comunicações .ainda convém lembrar que, durante a segunda guerra mundial os alemães foram alvos de notícias falsas,  ojornalista britânico sefton delmer administrou rádios e impressos que misturavam relatos reais com alegações mentirosas, como a de que soldados alemães estariam sendo injetados com sífilis pelas autoridades militares do país. uma das estações dos rádios era apresentada por um homem que se passava por oficial usando a transmissão para criticar o regime nazista.por todos, esses aspectos é necessário que a sociedade se conscientize para não divulgarem noticias falsasem redes sociais minimizando essa prática, programas devem ser criados para identificar notícias reais, sendo assim distinguindo o verdadeiro e o falso,  cabe ao governo criar leis severas para os indivíduos em que exercem esses atos.",100,5
