texto,nota,labels
"o governo brasileiro tende a ser o campeão em obras faraônicas, inacabadas e superfaturadas. obras que tiveram em seu projeto inicial a promessa de mudanças radicais, mas que não foram concluídas e muito menos causaram qualquer tipo de desenvolvimento ou mudança.na pauta está a obra que promete trazer prosperidade, fim da seca, resolução dos problemas de saúde e total bem estar [bem-estar] para o povo nordestino, isso tudo em um prazo médio de 15 a 20 anos.porém [porém,] a obra que desenvolveria a prosperidade teve seu orçamento em 2009 orçado em 4,5 bilhões e em menos de 4 anos, período de uma administração publica, passou para 7 bilhões nem ao menos saindo do papel.uma obra destinada ao fim da seca que tem por âmago desviar o curso de um rio tão importante como o são francisco, modificando uma fauna e flora por completo, causando extinção de espécies animais e desestruturando obras já concluídas responsáveis por geração de energia como as hidrelétricas de paulo afonso, xingó e itaparica.obra está que invade terras indígenas, povoa cidades sem infraestrutura com operários, causando epidemias e ainda maiores problemas de saúde e saneamento básico.o projeto de transposição desde o governo de dom pedro i foi sempre um desejo de governantes e até hoje conta com aposição da sociedade que, segundo eles, seria beneficiada.o nordeste precisa de administração séria que saiba usar os recursos que lá existem, projetos que venham atender uma porção maior que 4% da população como prevê o projeto final em questão, já que uma porção maior está destinada a indústria e irrigação.nenhum projeto ou obra que venha desencadear maiores problemas que soluções é viável para a sociedade e deve ser absorvido pela mesma [por ela]. projetos existem para serem analisados, por quem de fato entende do assunto, e colocados em pratica [prática] quando realmente seu fim justifique o restante.",8,5
"	curitiba 20/04/2011	maria do rosário nunes	venho através desta prestar o meu serviço como observadora das escolas brasileiras.	nestes últimos dias veio a tona novamente, um tema que por muito tempo se manteve esquecidos por nós educadores, que é o bulling.	nossos alunos estão sofrendo com este problema que tem feito muitos alunos até mesmo desistirem de seus ideais, do sonho de ser alguém na vida, de estudar e se formar, e tem os feito abandonar os estudos.	nós como educadores devemo observar mais as nossas crianças, a senhora como uma pessoa com influencia no meio educacional poderia fozer com que os nossos diretores levacem até as escolas palestras sobre o assunto, mostrando ao aluno que não se deve ser preconseituoso e que isso ira o levar a nada.	também poderia dar mais orientações a nós professores que por muitas vezes ficamos sem saber como agir.	e nós professores formamos novas pessoas e nós e estes que são tão importantes ao brasil não podemos ficar sem orientação e sem uma solução.	deste já agradeço a atenção.	maria aparecida",4,1
"	estresse, essa e [é] a primeira palvra que nos vem à cabeça quando o assunto é o trânsito. também não e [é] para menos ,pois aturar um engarrafamento de quilômetros com pessoas que estão cansadas e com um pessímo humor ,torna-se um sofrimento. e este e [é] um dos fatores que contribui para os acidentes por que [porque] as pessoas estão com pressa e com isso não respeitam as leis, cometendo várias inflações [infrações] ,e [vírgula] com isso [vírgula]  muitos pais de família se vão deixando muitas crianças órfãs.	muitas pessoas cansadas desse mal humor e desse trânsito aderiram a ideia estupenda do professor de economia ladislau dowbor, especialista em planejamento urbano, disse que para melhorar o trânsito das grandes cidades o que se tem que fazer e a descentralização. a ideia não é se transportar de maneira mais eficiente. é precisar menos de transporte ,e [vírgula] com isso [vírgula]a carona vem ganhando um grande espaço com mais de 230 mil empresas cadastradas o ocarona.com .são ideias simples ,mas com uma grande utilidade.	o trânsito não teria chegado a esse ponto com inúmeros acidentes,latrocínios ,sequestros relâmpagos se o sistema agisse de forma correta ao invés de roubar o nosso dinheiro.outro dia ouvi uma campanha no rádio que fazia um simples pedido para todos que estivessem no engarrafamento e a ouvisse ,era sorrir para o motorista ao lado ao invés de reclamar,xingar e fazer ofensas. e este gesto limitado trnaformou [transformou] aquele clima tenso,deixando tudo mais descontáido [descontraído]. e há quem duvide de que essas coisas não podem acontecer mas [mais] , e nisso que eu aposto nas pequenas atitudes que podem mudar o nosso dia a dia.	acredito que uma das melhores soluçoes [soluções] seria melhorar o transporte coletivo de massa, já que a maioria da populaão depende,afinal estamos nos preparando para sediar uma copa e está mais do que na hora de da um jeito” nessas coisas”. vamos lá né por que o trânsito foi feito para nosa ajudar e facilitar a nossa vida.",5,2
"um dos problemas enfrentados pela população brasileira é a dificuldade de mobilidade encontrada nos centros urbanos do país. isso tem causado muitos transtornos não só nos grandes centros como também nos médios. congestionamentos e engarrafamentos no trânsito bem como superlotações de transportes coletivos são algumas das barreiras encontradas por quem quer exercer de seu direito de ir vir.a principal causa encontrada para tais problemas é a falta de infraestrutura e planejamento. as cidades cresceram, a urbanização aconteceu e o êxodo rural causa cada vez mais inchaço nos grandes e médios centros urbanos. apesar disso o transporte coletivo não acompanhou tal velocidade de desenvolvimento o que causa as superlotações. nas capitais como salvador na bahia, por exemplo, é comum ver ônibus com pessoas aglomeradas, em pé, umas por cima das outras comprometendo não só seu conforto como também a sua segurança.tentando fugir do transtorno da superlotação muitos optam por veículos particulares e isso leva a um outro problema grave, os congestionamentos e engarrafamentos das vias. tal problema é bastante perceptível em metrópoles como são paulo onde em horários de “pico” é praticamente impossível transitar pelas vias principais, mas ultimamente é comum observar também nas médias cidades. segundo dados do ibge, os médios centros urbanos têm marcado um crescimento muito maior nos últimos anos que as cidades grandes, pois as pessoas vão para eles em busca de melhor qualidade de vida e junto a esse bum ""boom"" populacional vêm também os problemas no trânsito.analisando, portanto, as más circunstâncias do deslocamento e as suas causas é possível perceber que grande parte do problema seria resolvido com melhor planejamento e infraestrutura. cabe então ao governo investir melhor mais em transportes públicos mais rápidos como metrôs, por exemplo, para que não só o trânsito como também a qualidade da vida do povo melhore afinal tais problemas afetam e muito a rotina das pessoas.",8,5
"	o rio + 20 será uma conferência da onu que irá reunir diversos líderes mundiais para uma importante discussão acerca dos problemas socioambientais globais  [etc.)] no intuito de propor medidas eficazes e eficientes para transformar nosso planeta num lugar melhor para vivermos, inclusive para futuras gerações.	de acordo com a teoria de gaia, devemos perceber que o nosso planeta é um imenso organismo vivo, que reage às agressões sofridas pelos seres humanos. nos últimos [anos], exploramos de forma desordenada, irracional os recursos naturais, os quais pareciam ser infinitos, todavia, sabemos que não são. o conceito de desenvolvimento sustentável – o qual é entendido como o desenvolvimento capaz de suprir as necessidades desta geração, sem, no entanto, esgotar os recursos para gerações futuras - deverá nortear os debates.	hoje, temos conhecimento de que o meio-ambiente [meio ambiente] é [um] sistema complexo e que alteração em um local pode causar sérios problemas em outro. podemos citar como exemplo a construção de uma usina hidrelétrica que, de forma benéfica, gera emprego e renda para milhares de pessoas e fornece energia para uma parte país, mas que, ao contrário [em contrapartida], alaga e destrói a fauna e flora da região, além de desalojar inúmeras famílias. diante do exposto, percebemos a importância da referida reunião.	outra importante consideração é que o problema deve ser encarado com sendo um problema de toda a humanidade e não apenas dos governantes. cada pessoa que fizer pequenas mudanças no hábito de vida como não desperdiçar água, reclicar o lixo, etc... estará dando sua parcela de contribuição para resolução do problema, além de contagiar de maneira positiva os demais.	logo para que se inicie uma verdadeira mudança, de efeito duradouro, é preciso que aja uma postura ativa, consciente e individual de cada cidadão, na busca por alternativas que amenizem as atuais mazelas e promovam o bem-estar de todos.",6,4
"ao abrir as páginas de um jornal facilmente encontramos uma reportagem contendo algum ato que infringiu as leis, sejam ela civil, criminal, política, etc. é difícil cumpri-las?quando somos criança aprendemos os 10 mandamentos deixados por deus a moisés, as leis de deus, e levamos essas regras pela vida. são regras muito antigas, não sei nem dizer ao certo quantos anos antes de cristo cristo, porém servem até hoje e nunca precisaram de uma revisão. as leis da terra, com ênfase nas do brasil, precisamsempre estar sendo revistas, emendadas, extintas ou renovadas.fazer justiça com as próprias mãos com certeza não é permitidapermitido em nenhuma das regras. alguns autores e entrevistados mencionam que esses atos são bárbaros. e são! estão além de tudo isso que aprendi* e certamente muitos aprenderam também.no brasil os representantes e formadores de opinião vivem sendo apontados como descumpridores de leis, ou seja, não temos bons exemplos. quando algum infrator é pego, o que esperamos é que a justiça jurídica seja feita. quando isso não ocorre, ficamos frustrados com a falta de eficiência policial e então apelamos para o ultimo estágio: deus fará a sua justiça. porém nesses tempos acreditar ou esperar a teaté lá está ficando difícil e o que vem ocorrendo nas ruas, são casos como os de adolescentes presos em postes no rio de janeiro. o representante da secretáriasecretariade segurançasegurançajosé mariano beltrame afirma que agir por contra própria e fazer a sua justiça é crime. e então vamos resolver violência com mais violência? dessa forma, acabaremos na sarjeta ou aguardando a justiça divina. espero que não.*é necessário que estudiosos de áreas envolvidas se juntem para apontar os principais problemas e as buscas por soluções. precisamos de investimentos em educação social para ontem. um regime prisional que não garanta férias aos condenados, sim uma vida simples e árdua de trabalho, como tentativa de reeducação. e por fim, compreender uma frase de autor desconhecido que li* alguma vez: o que é errado continua sendo errado, mesmo que todos estejam fazendo e o certo vai ser sempre certo, mesmo que ninguém o pratique.",5,2
" os recentes e polêmicos “rolezinhos” despertam em grande parte da população certo estranhamento e receio, tendo os jovens mais uma vez à frente do movimento. o receio que as pessoas sentem por essa novidade organizada por meio da rede social talvez esteja ligado ao mesmo receio tido pelas manifestações de junho organizadas da mesma forma. somado a isso, é possível perceber a polêmica  que o movimento está envolvido devido ao certo preconceito tido por parte da sociedade nesses encontros de multidão em locais públicos. é perceptível que os recentes movimentos, de grande parte violentos, vistos no brasil desde o ano anterior despertaram na sociedade um possível receio a tudo aquilo que estava relacionado à reunião em massa de pessoas. isso implicou definitivamente nas opiniões tidas em relação aos rolezinhos. porém esses dois exemplos de movimento não podem ser comparados quando se refere a objetivos, sendo que os participantes desses passeios em multidão dizem estar somente interessados na diversão e ao no lazer encontrados em shoppings e praças públicas, sendo que até o momento não se mostraram o diferente.* é importante ressaltar ainda que o “medo” que certas pessoas possuem desses encontros traz polêmica. jornais e revistas apontam que a maioria dos jovens presentes nos locais indicados para a reunião são provenientes de comunidades carentes, estes amantes do estilo “ostentação” de funk, sendo assim a sociedade brasileira que nunca foi exemplo prático de quebra de preconceitos tem mais um motivo pra tratar de forma indiferente estes jovens que buscam diversão e mais visibilidade e presença social. desta maneira os tais “rolezinhos” que atualmente despertam polêmica e causam receio não irá irão simplesmente desaparecer por opressão da sociedade destarte, pois não há motivos evidentes para tal. retirar o direito que cada indivíduo tem de viver em liberdade e de frequentar lugares possivelmente seria ato preconceituoso e isso é violar os direitos humanos, além de ser crime. a melhor forma de evitar que essa forma de diversão se transforme em baderna é o diálogo entre governo, pais e sociedade em geral junto com os que aderem a tal manifestação de lazer, não só a estes mais a todos os jovens, todos eles merecem atenção.",7,0
"recentemente o governo brasileiro resolveu criar leis com o intuito de corrigir o passado histórico do país. porém tal ação criou grande polêmica entre a sociedade civil. a tal ponto, que alguns dos beneficiados são contra o privilégio da lei das cotas raciais. o brasil é marcado pelo seu passado escravista e pelo massacre dos indígenas. desde a colônia os negros e os indígenas são discriminados e em muitos casos foram marginalizados.tal passado reflete nos dias atuais e estas etnias se encontram geralmente nos níveis mais baixos da sociedade atual. para reverter estas injustiças o governo têm criado leis para inserir estes grupos sociais. assim criou-se cotas para negros e indígenas nas universidades, em desfiles de moda e em concursos públicos. essas medidas são justas, tendo em vista o passado brasileiro, porém alguns dos beneficiados são contra tais privilégios, pois temem que os negros e os indígenas sejam estereotipados como “incapazes”. um dos países em que o sistema de cotas deu certo foi nos estados unidos da américa. porém nesse país há apenas dez por cento de negros, no brasil supõem-se que mais de cinqüenta por cento da população seja composta de afro-descendentes. desse modo, o problema brasileiro é mais estrutural do que pontual. apesar das medidas governamentais serem nobres estão longe de resolver os problemas das desigualdades sociais do país. medidas mais eficientes seriam a melhora do ensino básico e dar subsídios para que a população mais carente consiga concluir seus estudos com qualidade. desse modo, os mais ricos não seriam prejudicados por perder vagas em universidades públicas e os mais humildes poderiam concorrer por vagas em concursos públicos e universidades de igual para igual. o racismo e atos preconceituosos sempre existiram no brasil, porém eles são camuflados. com as leis das cotas raciais, atos contra índios e negros começam a ser mais freqüentes e visíveis, principalmente em ambientes onde as cotas existem, como nas universidades. o governo deu um passo justo, mas errado na tentativa de melhorar as condições sociais do pais. afinal a questão das desigualdades sociais do brasil é mais estrutural do que pontual.",5,2
" é notório que o paradigma da sociedade moderna é viver a [à] mercê de luxo e sustentação. sendo de natureza humana olhar apenas para aquilo que ajuda no seu bem estar social, espelham-se os políticos que ao iniciarem o processo de construção das usinas, pensam mais no lucro que aquilo poderia acarretar sem se importar com as consequências posteriores. o brasil, mesmo sendo um país emergente, é um país ‘’espelho’’ para os outros no que diz respeito a obtenção de energia elétrica. diferentemente de países de primeiro mundo, como os estados unidos considerado como um dos países mais poluentes e o japão que contem dezenas de usinas nucleares – altamente perigosa para a biodiversidade -, nosso país utiliza, em sua grande parte, apenas usinas hidrelétricas, que por sua vez, é considerada uma das mais limpas. entretanto, levando-se em conta a situação anterior a utilização dessas usinas, a construção das mesmas [delas] causa grandes impactos para a vida. mesmo gerando milhares de empregos, a mesma gera morte de diversos animais, causa destruição da natureza, além de prejudicar a vida dos ribeirinhos. estas mesmas que vivem da agricultura, geralmente pessoas de baixa renda e ‘’esquecidos’’ dos políticos, são obrigados a mudar de endereço e muitas vezes, ao não encontrar onde morar vão viver nas ruas, o que poderia acarretar o aumento da violência. vivemos em um mundo globalizado e democrático onde as pessoas possuem o direito da palavra e liberdade de expressão. construções de grande porte como das usinas necessitam passar por fiscalizações diárias, além de requer aprovação das populações que vivem próximas ou ajudá-las a encontrar moradias para que situações como manifestações ou descontentamento da população sejam evitadas e o nosso país viva em um equilíbrio social.",6,4
"desde as primeiras décadas do século 20, quando o brasil começou a engatinhar rumo à industrialização, não se pensava na questão da mobilidade,  embora nesse período tenha se potencializado a abertura de novas avenidas, esse progresso não acompanhou o crescimento da infraestrutura de locomoção, haja vista, que essa mudança ocorreu principalmente, influenciada nos moldes europeus, influencia essa, herdada do período monárquico do brasil.durante as décadas seguintes, a indústria cresceu, surgiram indústrias siderúrgicas e principalmente as automobilísticas, conquistas oriundas da parceira parceria com o mercado exterior. a circulação de veículos aumentou consideravelmente na década de 50, devido ao aumento do poder aquisitivo do trabalhador, que agora dispunha da clt , com o horário para trabalhar estabelecido, o cidadão pôde dedicar-se ao lazer e a à construção de um patrimônio pessoal.na utopia da conquista de patrimônio, depois da casa própria, logo em seguida vem o carro. assim, a frota de veículos só aumentará e, por conseguinte, o trânsito tornando-se torna-se cada vez mais caótico. contudo, portanto, devido à conjuntura do desenvolvimento do brasil, o transporte tornou-se um dos maiores problemas da sociedade atual.atualmente, vemos que no brasil a questão da mobilidade não acompanhou os rumos de uma nação de heranças europeias. na europa em geral, é comum o uso de bicicletas para todas as atividades do cotidiano, elas estão ali, nas casas e também são disponibilizadas pelas ruas para aluguel em prol do turismo.em suma, o brasil deveria voltar a se fundamentar no estilo europeu, quanto à questão do incentivo a bicicleta. ao governo, cabe o papel de aumentar o número de ciclovias e criar programas com as grades empresas, para incentivar o compartilhamento de carros entre os funcionários e, assim desafogar o trânsito.",7,0
