texto,nota,labels
"em todos os países do mundo o bullying é um problema crônico nas escolas e as formas de agressão entre os alunos são das mais variadas e podem acontecer em quase todos os níveis da fase escolar, desde o primário até os últimos anos do ensino médio, por exemplo. bullying é a prática de atos violentos, intencionais e repetitivos, contra uma pessoa indefesa, que podem causar danos físicos e psicológicos às vítimas dentro e fora dos educandáriosna escola, segundo o programa anti-bullying do instituto olweus, o relacionamento professor-aluno é fundamental.  pois é por meio dessedisso que o bullying pode ser identificado, mas,para que isso ocorra, os docentes devem ser treinados de forma adequada para que saibam lidar com tal situação. ou seja, o professor deve entender o conceito de bullying para que, caso isso ocorra, ele interfira defendendo o agredido, mostrando ao agressor que isso é errado e, assim, ensinando aos observadores a não si manterem calados diante disso.e fora do colégio, a vítima apresenta dificuldades de comunicação, o que influência negativamente a sua capacidade de desenvolvimento em termos socias, profissionais e emocionais. cleo fante, a maior especialista do brasil em bullying, diz que a ação maléfica deste ”traumatiza o psiquismo de suas vitimas, provocando um conjunto de sinais e sintomas muito específicos, caracterizando uma nova síndrome”, denominada de síndrome de maus tratos repetitivos, ondeem queo castigado estará predisposto a reproduzir a agressividade sofrida ou a reprimi-la, comprometendo o seu processo de socialização.buscando combater o bullying, as instituições de ensino devem si conscientizar. os educandários têm de fomentar o pensamento crítico dos alunos, criando grupos de debate, organizando palestras, promovendo empatia por meio de dinâmicas, convocando reuniões com os pais e deixando sempre claro que aquele local é livre de todas as formas de agressão.",100,0
"na obra “utopia”, do escritor inglês thomas more, é retratada uma sociedade perfeita, na qual o corpo social padroniza-se pela ausência de problemas e conflitos. no entanto, o que se pode observar na realidade contemporânea é o oposto do que o autor prega, uma vez que a “pec 206: independência financeira ou retrocesso na educação?” apresenta barreiras, as quais dificultam a concretização dos planos de more. esse cenário antagônico é fruto tanto da negligência governamental, quanto do silenciamento social . diante disso, torna-se fundamental a discussão desses aspectos, a fim do pleno funcionamento da sociedade brasileira.primeiramente, é importante pontuar que a pec 206 ,que propõe o pagamento das universidades públicas no brasil deriva da baixa atuação dos setores governamentais, no que concerne a criação de mecanismos que coíbam tais recorrências. segundo o pensador inglês thomas hobbes, “o estado é responsável por garantir o bem-estar da população”, entretanto, isso não ocorre no brasil. devido à falta de atuação das autoridades, desencadeada pela forte negligência governamental, a pec 206 representa um retrocesso na educação nas universidades públicas brasileiras que durante muitos anos vivem buscando melhorias, mas ao mesmo tempo formando alunos aptos para o mercado de trabalho e com a cobrança das mensalidades das universidades públicas haverá um menor índice e interesse da população brasileira interessada em cursar o ensino superior . desse modo, faz-se mister a reformulação dessa postura estatal de forma urgente.ademais, é imperativo ressaltar o silenciamento social como promotor da problemática. partindo desse pressuposto, caso haja aprovação da pec 206, poderá se culpar tanto os políticos que nos representam no senado, quanto a sociedade em si que pouco ou nada faz perante tal calamidade, podendo, no entanto, propor manifestações e greves em prol da permanência da gratuidade das universidades públicas brasileiras . tudo isso retarda a resolução do empecilho, já que o silenciamento social contribui para a perpetuação desse quadro deletério.portanto, uma intervenção faz-se necessária. dessarte, com o intuito de militar a pec 206 necessita-se, urgentemente, que haja uma cobrança de impostos maior da população de classe alta do brasil, principalmente aqueles que sua fortuna deriva do trabalho político. logo, com essa taxação alta dos impostos, tal capital será direcionado para o melhoramento educacional das escolas de ensino médio públicas – com a contratação de professores mais qualificados, assim como, melhoramento da estrutura escolar -, para que tais alunos possam usufruir de uma educação mais sólida e firme, possibilitando o ingresso desses alunos para o ensino superior de sua escolha. dessa maneira, a problemática da pec 206 será melhor combatida e a coletividade alcançará a utopia de more.",160,3
"a constituição federal de 1988, documento jurídico mais importante do país, prevê em seu artigo 6º, o direito aà assistência aos desamparados como inerente a todo cidadão brasileiro. conquanto, tal prerrogativa não tem se reverberado com ênfase na prática quando se observa os desafios enfrentados por pessoas com deficiência, dificultando, deste modo a universalização desse direito social tão importante. diante dessa perspectiva, faz-se imperiosa a análise dos fatores que favorecem esse quadro.diante desse cenário, deve-se ressaltar a ausência de medidas governamentais para combater os desafios que os deficientes enfrentam no mercado de trabalho. nesse sentido, a questão da inclusão de pessoas portadoras de necessidades especiais em todos os recursos da sociedade ainda é muito incipiente no brasil. essa conjuntura, segundo ideias do filósofo john locke, configura-se como uma violação de ""contrato social"", já que o estado não cumpre sua função de garantir que os cidadãos desfrutem de direitos indispensáveis, como a assistência aos desamparados, o que infelizmente é evidente no país. ademais, é fundamental apontar que a pouca visibilidade e preocupação na inclusão de portadores de deficiência permite que este cenário excludente persista intrínseco ao corpo social do brasil. de acordo com a lei n.º 8213/91 criada pelo governo federal em 1991, deve ser estabelecida uma fatia de 2% a 5% das vagas de emprego ao grupo de pessoas com deficiência. diante de tal exposto, é indiscutível que essa norma não é totalmente respeitada. logo é inadmissível que esse cenário continue a perdurar. depreende-se, portanto, a necessidade de se combater esses obstáculos. para isso, é imprescindível que o governo federal, por intermédio de pesquisas e análises no mercado de trabalho, realize palestras meio educacional a fim de fiscalizar e executar o cumprimento das leis inclusivas à pcd. assim se consolidará uma sociedade mais empática, onde o estado desempenha corretamente seu ""contrato social"", tal como afirma john locke.",160,3
"o filme ""o silêncio de melinda"" mostra o desabafo de um professor de artes sobre como não só a sua disciplina era desvalorizada pelos alunos, mas também como recebia pouco pelo seu trabalho. diante disso, o professor desiste do emprego. ao sair da ficção nota-se o desafio dos professores que na maioria das vezes são ignorados pela sociedade, não dispondo do reconhecimento merecido. nesse contexto, a falta de visibilidade dessa profissão e a omissão governamental são as principais causas do problema.em primeiro plano, cabe salientar, que o trabalho docente no brasil, tem pouca credibilidade para sociedade. visto que, a partir do crescimento de meios de comunicação, a internet passou a propagar conhecimentos e novas informações às pessoas. nessa conjuntura, a perda de influência dos professores estávinculada à alteração de sua função social.uma vez que, os meios provedores de conhecimento e cultura são diversificados. além disso, é válido ressaltar a questão da baixa remuneração salarial dos profissionais. no entanto, esse não é um problema recente, desde o século xix, mesmo que o ofício fosse reconhecido pela família e sociedade, os salário dos professores não correspondiam ao trabalho exercido. essa histórica realidade é desdobrada em razão da insuficiência de investimento público para enaltecer a figura do professor. portanto, para a mudança do cenário atual, é vigente a necessidade da reformulação da imagem do professor perante a sociedade e a redefinição das prioridades financeiras do governo objetivando o retorno a longo prazo. desse modo, cabe à escola promover palestras à sociedade explicando a importância do professor para ela, assim, essa profissão poderá ser almejada pela família e promoverá mais respeito na escola. bem como, o governo deve proporcionar condições trabalhistas dignas de uma pessoa que deveria ter seu emprego entre os mais ambicionados. outras medidas devem ser tomadas, porém como considera o pensador ""oscar wilde ""o primeiro passo é o mais importante na evolução de um homem ou nação"".",160,3
"a constituição federal de 1988, documento jurídico mais importante do país, prevê em seu artigo 5º, que todos são iguais perante a lei sem distinção de qualquer natureza. conquanto, tal prerrogativa não tem se reverberado com ênfase na prática quando se observa o uso de pronomes neutros na língua portuguesa, dificultando, deste modo a universalização desse direito tão importante. diante dessa perspectiva, faz-se impierosa a análise dos fatores que favorecem esse quadro.antes de tudo, deve-se ressaltar a ausência de medidas governamentais para combater a falta de reconhecimento do tratamento correto que pessoas não-binárias merecem. segundo o psicanalista jacques lacan, tanto quanto sigmund freud, fundamentam que o sujeito se constitui através da linguagem. sob esse viés, é inconstitucional a não-intervenção do estado para cumprir seu dever.ademais, é fundamental apontar a lenta mudança da mentalidade social como impulsionador desse preconceito no brasil. de acordo com um estudo iniciado pelo psiquiatra ligado à faculdade de medicina da usp, giancarlo spizziri, há cerca de 3 milhões de pessoas adultas que se identificam como não-binários no país. diante de tal exposto se faz necessário o reconhecimento a esses indivíduos, tornando inadimissível o cenário oposto.depreende-se portanto, a indispensabilidade do enfrentamento desses obstáculos. para isso é imprescindível que o ministério da cidadania, por intermédio da secretaria nacional de inclusão social e produtividade urbana, possa instituir grupos de trabalho para elaborar manuais informativos e campanhas sobre o assunto - incentivando o uso dos pronomes neutros, não apenas só social, como apelo para o reconhecimento jurídico- a fim de evitar a situação de alienação sobre a temática e o entendimento da importância desse respeito. assim, tornar-se-á possível a constituição de todos os sujeitos pela linguagem, como afirmam freud e lacan.",160,3
"portes de armas pela população civilcomo ninguém esta está livre de violência, temos que nós nos defender. porém como nos defender nos dias de hoje? uma das bandeiras de obama é dificultar a venda de armas para pessoas com histórico criminal ou doenças mentais, certo  que com essas condições diminua diminuiriam o índice de morte por armas de fogo. as mulheres são as maiores vítimas do desarmamento. os bandidos dominam as armas chamando a atenção sem dar oportunidade paras os outros.com as condições mais rígidas fica melhor, portanto pois, já sabemos que nem todo cidadão poderá ter o porte legal de armas, somente aqueles que seguirem as instruções e estiverem dentro das condições propostas. o que ocorreu nos estados unidos foi um verdadeiro massacre, mais mas isso também nos mostra que muitas pessoas sem ter a posse legal de armas, têm armas*. se as armas não forem para o cidadão, é para os bandidos! a criminalidade não tem fim.se o cidadão de bem for proibido de ter a posse legal de armas, ele se torna um alvo fácil para os bandidos; porém, se um cidadão de bem tiver a posse legal de armas será mais difícil,  não quero** dizer que ele estará livre de ser um alvo mais mas sim que ele estará mais protegido e seguro. os bandidos, dominar dominam, têm exclusividade sobre as armas. isso nós mostrar nos mostra quer, enquanto o cidadão de bem não pode ter armas, os bandidos têm o caminho livre para, roubar, matar, estrupa estuprar, fazer o que eles bem entenderem enquanto o cidadão fica parado sem poder se defender! as mulheres são alvos muito fáceis para os bandidos; tentativas de estupro são consumadas 32% das vezes, mas o índice cai para 3% quando a vítima está armada. a proteção adicional que uma arma de fogo oferece a à mulher e é enorme.logo, todo todo cidadão tem o direito de se defender, desde que ele saiba como fazer isso para não prejudicar ninguém. tem que saber como e quando deve usar a arma, certo que a criminalidade não vai acabar, mas a segurança do cidadão pode aumentar. “bandidos têm mais medo de enfrentar uma vítima armada do que a polícia”. o ser humano tem o direito de não ter sua integridade física ameaçada ou violada. não importa raça, tribo, cor ou religião o importante e é ser feliz e viver tranquilo e seguro, sem medo do que pode acontecer.",50,7
"segundo o ibge , o aumento da expectativa de vida do brasileiro nas últimas décadas tem gerado uma descompensação no sistema previdenciário. segundo o governo, a reforma torna-se necessária sob a justificativa de que se nada for feito o sistema entrará em colapso em pouco tempo, uma vez que o brasileiro vivendo mais o tempode contribuição não será suficiente para suprir a demanda dos trabalhadores aposentados e os que irão se aposentar.   dados revelam que no último século o tempo médio de vida da população aumentou mais de 30 anos. isso se evidencia pela melhor qualidade de vida e o avanço da medicina e suas tecnologias, esse aumento torna-se um problema para o gerenciamento da previdência e como equacionar essa conta que tem gerado um déficit ano após anos.   ademais, esse problema tem gerado muita discussão entre governistas e oposicionistas , por um lado, o governo defende uma ampla reforma com aumento do tempo de contribuição, idade mínima para aposentadoria e limite de teto para todas as categorias públicas e privadas,por outro lado, sindicalistas e trabalhadores resistem a proposta de reforma entendendo que é prejudicial pois tira direitos e penaliza os mais pobres .   assim, sob a ótica da racionalidade, é inegável a necessidade da reforma mesmo que cause sacrifícios aos trabalhadores, pois cada um terá a sua parcela de responsabilidade e sacrifício em defesa de um bem comum. uma reforma justa e igualitária gerará uma economia aos cofres públicos, o equilíbrio das contas públicas e a garantia de recursos para pagamento a todos os aposentados brasileiros.",100,0
"início da segunda metade do século xx, duas grandes guerras e o nascimento de um mundo polarizado, bipartido em comunismo e capitalismo. tal polarização se fez presente do enceramento da segunda guerra ao fim da urss e, ainda hoje, é vista moldando a política das nações, incluindo o brasil. em rumo ao segundo turno das eleições vive-se fortemente a polarização e suas consequências: aumento da violência e diminuição do diálogo, que passa a ser marcado pelo medo e extremismo de ideias. embora a democracia pareça intrínseca a atualidade, a plena cidadania é recente e o tempo contínuo em democracia também, evidenciando a necessidade do brasil desenvolver seu campo democrático e o porquê de mazelas advindas da polarização serem tão presentes.a democracia se define por seus cidadãos. um grande avanço da democracia moderna, em relação ao sem antigo berço ateniense, está no fim da exclusão de quem é cidadão. contudo, esta realidade democrática, construída na formação dos estados nacionais europeus, só se consumou no país em questão, o brasil, no século passado, pois antes perpetuavam-se excluídos, como as mulheres. entretanto, a simples abertura não impediu o cenário de violência que se seguiu. a corrente violência, mesmo que pareça inimaginável, também permeou esse início democrática, com atos como a morte de estudantes no movimento paulista de 1932, evidenciando que para haver pleno debate demanda-se tempo e necessita-se superar a violência. contudo, esse tempo não foi concedido ao país, pois em 1964 a nação sofre um golpe e a democracia é cerceada por décadas de opressão e violência. portanto, o pouco tempo contínuo de democracia da nação mostra-se insuficiente para superar a barreira do medo e da violência, por isso ainda se fazem presente, junto a polarização.​​​​​​​ em suma, o amplo debate público e a plena democracia demandam tempo para serem construídas, caso contrário, ficam presas às amarras da polarização e violência. assim, é crucial para atingirmos o ideal democrático prezarmos pela independência dois dostrês poderes, inviabilizando que um tome os demais. para isso, se faz necessário o voto em representantes que respeitem a democracia e o incentivo à participação política da população por meio da abertura de espaços públicos de debate promovidos pelo estado em parceria com a iniciativa privada. dessa forma instaura-se o diálogo e afugenta-se a polarização, coibindo a violência e dando tempo para que a democracia colha seus frutos.​​​​​​​",160,3
"nota-se que, atualmente, casos de etarismo no brasil tem se alastrado. em ênfase, pessoas mais velhas são alvo de críticas por conta do avanço na idade, sendo vítimas de repúdio e preconceito, levando-as a um estado de inferioridade, onde resultará em sérios riscos como a solidão existencial eos e ostranstornos psicológicos. . paulo freire, filósofo brasileiro disse: ""a inclusão acontece quando se aprende com as diferenças, e não com as igualdades"" onde logo se adequa, pelo fato de muitas pessoas olharem para pessoas com uma idade mais avançada, sendo não capazes de realizar atividades cognitivas, onde são, de uma certa forma, preteridos da sociedade, olhando apenas para as suas dessemelhanças.em segundo plano, é indubitável dizer que são afetadas por transtornos psicológicos, ocasionados por comentários de baixo calão. portanto, o sistema imunológico das mesmas, torna-se invulnerável, onde traz sérios riscos a capacidade de redigirem e realizarem atividades propícias que foram esquematizadas a serem feitas. ademais, proporcionam imparcialidade, tendo-as como pessoas incapacitadas de realizarem certos tipos de atribuições, ocasionando em doenças psicotraumatricas como a depressão.em vista dos argumentos citados, o governo federal, órgão de maior complexidade em realizar ações legislativas e especializadas, deve trazer ações em instituições educativas, e em ambientes de saúde, que vizam trazer a conscientização da população, havendo uma relação de inclusão e interatividade. assim, propomover reuniões para que haja a implementação de leis, que tratamde dar ênfase às pessoas vítimas do etarismo, havendo assim, uma relação de interatividade e socialização correlação com relaçãoas idades distintas.",160,3
"não é difícil de imaginar esta cena:um ser humano que, ao se encontrar esgotado de todos os altos e baixos das relações interpessoais, acha na tecnologia seurefúgio.emboraseja uma bela prerrogativa de um roteiro de filme/ou série, infelizmente essa realidade, devido a questões sociais e tecnológicas, fazem com que hoje o homem se conecta conecte de forma rasa. é válidodestacar,inicialmente,oquão importante são os avanços civis. enquantoem um passado não tão distante, a mulher ocupava um papel absurdamente passivo, sem qualquer tipo de voz e totalmente dependente do marido, fica de fácil entendimento entender sobre oporquê do número dedivórciosserem baixos em comparação com os dias de hoje. semesquecer dos avanços constitucionais que permitirama separação dos casais. outrofato merecedor de destaqueé,ogrande avanço da tecnologia e o seu paradoxo. em tempos de 'tinder',em que se tem se à disposição um vasto cardápio de pessoas, de modo surpreendente a sensação de solidão se faz presente na realidade de inúmeras pessoas delas.mesmotendo um milhão de amigos, como roberto carlos já cantou nos tempos da jovem guarda, hoje esses um milhão, ao mesmo tempo em que estão perto, estão longe. ficaevidente,portanto,quefatores sociais e tecnológicos afetam a vida do homem contemporraneo contemporâneo. afim a fim de minimizar essa situação, através do ministério da comunicação, o governo em parceria comong's,podemelaborar campanhas com a finalidade de mostrar os malefícios do uso das tecnologias,além de fomentar que a mídia use de forma engajadora suas dramartugias,  dessemodo, talvez em um futuro próximo - com otimismo, a paradoxal relação do homem com a tecnologia possa ser desfeita.",100,0
