texto,labels
"   Normal  0      21      false  false  false                                                                                                                                                                                                                                                                                                                                                                        	Uma nova redução da jornada detrabalho será implantada para a criação de novos postos de trabalho porém, essamedida pode não ser tão eficaz pois ela tem riscos, alguns deles são perda naprodução,  redução do salário atual equeda na criação de empregos formaisCom esta nova redução da cargahorária o país tende a produzir menos, o que implicara em uma redução naprodução e com isto afetara o setor de exportação atual e o PIB  brasileiro tende a ter perdas significantes. E ainda isso iragerar um aumento nos preços dos produtos pois com menos produção maior o custopara as empresas manterem seus estoques.Alem disso, uma redução dosalário é inevitável, pois com menos produção as empresas tendem a pagar menosaos seus empregados fixos, e com o consumidor recebendo um salário menor, eleira consumir menos o que ira afetar  osetor do comercio que não precisara de novas contratações e ainda terá quedemitir seus funcionários atuais para não haver prejuízos nas suas contas.Outro fato importando é a quedana criação de empregos  formais , poiscom um salário menor o trabalhador não vai aderir a um emprego que não pague assuas dividas, isso aumentara a situação de trabalhadores de forma irregular, ouseja sem carteira assinada. E alem disto trazer ao Estado perda na arrecadaçãode impostos e com menos dinheiro nos caixas do governo poderá acontecer cortesnos projetos sociais como o Bolsa família, e no futuro esses trabalhadoresperderão direitos como o da aposentadoria.Diante dos fatos mencionadospodemos notar que, o país não necessita de uma nova redução da jornada detrabalho atual, pois a que aconteceu na criação da constituição em 1988 nãocriou nem um emprego, o aumento dos empregos deve-se ao crescimento econômicoque aconteceu com o Brasil, e para novos postos de trabalho precisa-se de novasempresas, investimentos e oportunidades para o trabalhador brasileiro.",2
"O país do futebol,não receber mais uma copa do mundo seria uma covardia.Considerando que a seleção brasileira foi a que mais participou de copas do mundo.E nós brasileiros que somos fascinados e apaixonados pelo futebol, iríamos nos orgulhar de ver o mundo voltado para o nosso país. Observando o lado econômico,somos um país em crescimento,e realizando uma copa do mundo seria um empurrão em nossa economia,gerando emprego e renda para a população brasileira,mas existem questões á ser verificadas,embora tenha bastantes exigências a fifa declarou querer isenção de imposto para a realização da copa, incentivos fiscais,para a realização deste evento esportivo,a fifa estava querendo algum incetivo e viu que exigindo do país á não cobrança de impostos seria um ótimo motivo,pelo desenvolvimento do Brasil os pedidos da fifa foram aceitos. Com a grande circulação de turistas pelo país a economia poderá crescer e apresentar um saldo positivo ao termino do evento esportivo.E poderemos mostrar á pessoas de outros países que em nosso país não tem só o futebol,existem coisas ainda melhores para serem apreciadas.Dinheiro público que poderia ser investido em educação,saúde está sendo direcionado para outros fins a copa do mundo,esperamos que saibam administrar bem os recursos públicos.",4
"O homem ao longo dos séculos se evoluiu, em busca de se adaptar ao meio em que vive,criaram invenções para seu benefícios porem se esqueceram do lugar em que vivem o planeta no qual vem se degradando . Ao poucos a natureza vem reagindo com a interferência do homem, vemos isto a cada dia que se passa : inundações ,secas,terremotos, aquecimento  e tanto outros fenômenosAinda a tempo de nos corrigirmos nossas  falhas para evitarmos que terra sofra mais danos.  Salvar o planeta não é tarefa fácil mas e possivel ,  a responsabilidade dele não esta em uma única pessoa mais de todos  nos,cabe  cada um mudar o hábitos de vida .",4
"	Campinas, 25 de abril de 2011.		Exma Sra	Maria do Rosário Nunes	Ministra-chefe da Secretaria de Direitos Humanos da Presidência da República		Tendo em vista eventos recentes, primeiramente envolvendo o caso do garoto australiano Casey Heynes que ficou conhecido como “Zangief Kid”, seguida pela tragédia na Escola do Realengo no Rio de Janeiro, onde Wellington de Oliveira matou doze crianças, feriu doze e se matou, solicitamos sua especial atenção para a questão do “bullying”.		Segundo uma especialista no assunto, esta é a forma de violência que mais cresce no mundo, principalmente por causa da influência dos meios eletrônicos, como a Internet e a televisão, exigindo medidas imediatas e incisivas para evitar consequências trágicas como o massacre do Realengo.		Sugerimos a seguir alguns exemplos de programas anti-bullying que poderiam ser aplicados a todos os ambientes  que poderiam ser afetados pelo bullying, começando pelas escolas, e envolvendo a direção, professores, alunos e pais.		1. Conscientização. Caracterização, identificação dos três tipos de personagens  e suas responsabilidades, conselhos para pais e educadores, possíveis consequências, ações, e finalmente, o que fazer para evitá-lo, através de recursos como cartilha, filmes, dramatizações, debates e grupos de apoio.	2. Monitoramento. Baseado em voluntários. Toda pessoa que suspeitar ou presenciar um caso de bullying, deverá denunciá-lo às autoridades competentes.	3. Disque 100 . Seguindo a sugestão da Promotoria de Justiça da Paraíba, poder-se-ia incluir os casos de bullying no Disque 100.	4. Prevenção. Incentivo a uma cultura de paz, solidariedade, generosidade e respeito às diferenças individuais, através de conselheiros, campanhas de incentivo à paz e à tolerância, atividades de cooperação e dramatizações.	5. Tolerância Zero. Toda a sociedade brasileira deverá ser instruída de tal forma que este tipo de conduta não seja tolerado de forma nenhuma. O bullying deveria ser considerado um crime, e sua pena, paga em trabalho social.		A adoção destes programas mostrará ao povo brasileiro a seriedade do compromisso desta secretaria.		Atenciosamente,",3
"A princípio as reservas teriam quer ser feitas para pessoas que não tem capacidades psicologicas e fisicas, ou seja, para pessoas com distúrbios mentais ou que possuem necessidades especiais. Com essas cotas muitas pessoas são beneficiadas",5
"	Droga 1to fora!	é essa a frase que vemos em comeciais de teve, nos banners pelas cidades, foi assim por um bom tempo,cresci sabendo que droga fazia mal, que era proibida.Proibida1 essa é a palavra!	Por mais de 40 anos de lutas contra as drogras no mundo não deram resultados,so aumentaram a violência , geraram bilhões para o tráfico e o uso indiscriminado de crianças e adolencentes.	Acredito que a saida seja mesmo a legalização e comercialização de algumas drogas como a canabis que ja tem comprovada os seus efeitos benéficos para fins medicinais e ja são usadas para uso em tratamentos de glaucoma e como analgesico geral.	Com a legalização1 passa se ser de responsabilidade do governo, a distribuição e qualidade da canabis assim sendo não teria mais droga adulteradas e acabaria com os bilhões que trafíco ganha,e com relação as pessoas viciadas, poderão ser tratadas como pessoas doentes e não como criminosos como vem sendo atualmente.	Em alguns paises que mudaram a estratégia ao combate das drogas, tem obtido um aumento de resultados positivos.	Acredito que legalizando alguns tipo de drogas, como é legalizado o tabaco e o alcool, se obtem um resultado melhor do que proibindo,afinal tudo que é proibido é mais gostoso, já diz o ditado.",1
"	 O crescimento do interesse por cada passo de seus representantes, fomentado pela conscientização política, armou o cidadão na batalha contra a corrupção. Entretanto, os políticos sujos, sob proteção mútua, ainda estão respaldados por leis ineficazes. Esta guerra desleal impede o crescimento sadio e digno da economia e, sobretudo, do povo brasileiro.	 Uma série de mecanismos possibilitaram um maior acesso/atenção às ações governamentais. Os Tribunais de Contas e a Lei das Licitações e Contratos, - além dos portais de transparência-, permitem o acompanhamento da gestão do dinheiro público. Em adição, Corregedorias e o próprio Poder Judiciário , punem as más condutas dos servidores públicos, embasados em leis como a Lei da Improbidade Administrativa.	 Todavia, isso não repele, a contento, ações desenfreadamente corruptas por parte dos políticos brasileiros, sobretudo em esferas menores . Não obstante, o aparato jurídico vigente não pune, adequadamente, os crimes de corrupção. Em se tratando de lesão a um contingente de subalternos, nada mais natural que definir tal conduta como crime hediondo, uma vez que o dinheiro desviado poderia ser investido em educação e saúde, direitos inerentes ao cidadão.	 Fica evidente, portanto, que uma maior austeridade no tratamento às condutas incoerentes dos governates provocaria mudanças no panorama caótico da política. Uma vez que, representaria uma ameaça suficientemente grande aos larápios egoístas e as trocas de favores, condutas tidas como referência da politicagem brasileira.	 Em suma, a impunidade é a força motriz para o alastramento da currupção. Como remédio, leis mais eficientes, ou mesmo um código específico, devem ser instaurados para que seja possível punir severamente os culpados. Isso tornaria o país mais competitivo em escala global, além de favorecer maior isonomia e diginidade a todos deste país.",3
"Desde muito cedo,sempre tive a mania de fazer planos.Sempre tive o objetivo de ser uma medica.Planejava tudo,a onde eu iria estudar,morar,como ficar mais perto da minha familia e assim por diante.Sempre foi assim.Pra mim,é insuportavel a ideia de que eu nao posso prever aminha vida e controlar a minha vida,o meu futuro.Com o passar dos anos fui amadurecendo,e acabei aprendendo que nao posso prever o meu futuro,controlar a minha vida .Nem tanto...Acho que acreditar que tudo e possivel desde que haja luta pelo que se quer,que desde cedo saiba o que se queira.Bem o meu grande plano para o futuro e estudar muito,assim conseguindo passar em uma universidade,prestar Medicina e me especializar na area de pediatria e fazer a diferença,fazer deste mundo um lugar melhor .Estes sao alguns dos meus mais valiosos planos para o meu futuro e espero que Deus me forças e saude para poder alcançar o meu objetivo,e assim poder contribuir com serviços prestados para a sociedade.Eu me chamo Larissa Lopes Santos tenho 15 anos e estudo na Escola Estadual Olegario Marciel.Moro e MG Januaria na comunidade de Brejo do Amparo",5
"Há um passado na historia de injustiças que foram cometidas e necessitaram de força politica e união de alguns ativistas para que se tornasse lei o que deveria na verdade ser um reconhecimento de dirferenças e não um direito em função dessa diferença. Direito esse que cada um ja tivesse impregnado desde o nascimento, por exemplo o branco e negro ja reconhecidos como cor de pele diferente e tão somente isso, opção de sexo tambem cada um faria a sua e assim não ficaria a sociedade atribuida para resolver essas diferenças. Há um passado de leis como por exemplo a Lei Aurea que teve que ser manipulada até que se cumprisse a total liberdade dos escravos , resolveu ? com o tempo todos foram libertados mas ficou ainda o estigma do negro, que a sociedade trata hoje com paleativos, como por exemplo reserva de vagas. Defendo uma campanha de educação e humanização tendo como defensoras a sociedade civil e religiosa, fazendo nascer em cada sentimentos de união e respeito.",5
"Porque os brasileiros estão atravessando fronteiras para se prostituírem? Será que vale mesmo a pena correr riscos, inclusive de morte, para ganhar dinheiro fora do país? A sociedade brasileira está normalmente acostumada a pensar em prostituição como uma atividade ligada somente a mulheres, Mas a falta de oportunidades está provocando a ida dos homens para essa atividade.A prostituição masculina atinge uma faixa etária entre 17 á 28 anos, são geralmente homossexuais, possuem baixa escolaridade e muitos saem do país sabendo que irão trabalhar como garotos de programa. Com todas essas características e longe de casa esses jovens tornam-se alvos fáceis para as quadrinhas muito bem estruturadas no tráfico de pessoas e os impõem um regime escravocrata em pleno século XXI.Alojamentos apertados, Dívidas altíssimas com alimentação e moradia, locomoção para os países onde deverão atuar como prostitutos E articipação dos lucros com os programas estão entre as condições expostas pelos cafetinos aos profissionais do sexo, sem mencionar a possibilidade de contrair doenças sexualmente transmissíveis são os riscos que esses jovens estão correndo.Sendo assim apesar de supostas “vantagens” em trabalhar no exterior e ganhar em euros é muito difícil a jovens inexperientes, ficarem longe de suas famílias irem arriscar suas vidas, pois lá, estão expostos aos perigos das drogas, doenças e violência. O governo tem a responsabilidade da fixação desses garotos em seu país de origem com melhores condições de trabalho e dignidade para todos.",1
